Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
13-06-2018,1266.8,1284,1266.8,1274.8,3676982074,110178,2883464
12-06-2018,1265.75,1271.25,1250.45,1258.5,4931300156,90357,3919910
11-06-2018,1265.55,1270,1255.05,1262.4,3264923421,94087,2585645
08-06-2018,1248,1262,1246.05,1260.05,4061574692,146437,3229939
07-06-2018,1238,1258,1238,1252.45,4181210252,106204,3338113
06-06-2018,1225.2,1241.55,1220.05,1237.45,2491929870,98002,2019092
05-06-2018,1242,1242,1217,1220.85,2888924172,85171,2355431
04-06-2018,1221.1,1243,1212,1239.4,2632848474,69180,2135078
01-06-2018,1230.4,1246.25,1217.2,1220.8,3073466731,81969,2499178
31-05-2018,1211.7,1242,1210.25,1231.8,12129968289,163732,9860170
30-05-2018,1217,1228.75,1205.6,1211.7,3840109182,113600,3161533
29-05-2018,1214.05,1226.55,1206.2,1216.7,2057107218,97963,1694467
28-05-2018,1231,1232.6,1206,1214.4,3495734649,114363,2869897
25-05-2018,1230.1,1248.65,1220.8,1228.3,5514861308,165203,4450719
24-05-2018,1198,1227.55,1198,1221,5928236190,115622,4870285
23-05-2018,1195,1207.65,1181.5,1184.9,5715433184,155510,4769221
22-05-2018,1175,1198,1173.9,1193.85,3352664150,92075,2818402
21-05-2018,1179.55,1188.4,1170,1179.5,5009804970,94593,4237660
18-05-2018,1183,1186.55,1173,1183.2,4216242217,118691,3569830
17-05-2018,1196,1197.45,1173.55,1182.9,5646033906,108694,4759799
16-05-2018,1187.25,1198,1184.5,1189.95,3697718120,80951,3102502
15-05-2018,1188.1,1208,1188.1,1194.55,3357654925,169798,2805987
14-05-2018,1184.35,1191.5,1170,1189.3,2624191631,118716,2216047
11-05-2018,1172.3,1183.2,1166.05,1180.75,1944465077,51911,1655853
10-05-2018,1176,1183,1162.85,1168,1866843840,55801,1591431
09-05-2018,1167.5,1176.9,1163,1170.7,2213260047,50914,1891752
